African_top_officials_accounts
@EswatiniGovern
@MalawiGov
@hagegeingo
@FinanceS
@PresidencyZ
@mohzambi
@edmnangagw
@MinSanted
@hawelt
@StateHouseKeny
@PaulKagam
@M_Farmaaj
@SouthSudanGo
@SudanPMHamdo
@TZSpokesperso
@KagutaMuseven
@angola_Mire
@willynyamitw
@Cherif_M
@Presidence_RD
@PresidentAB
@PresidenceBeni
@rochkaborep
@PresidenciaC
@AOuattara_PRC
@Presidency_GM
@NAkufoAdd
@President_G
@USEmbal
@PresidenceMal
@CheikhGhazouan
@IssoufouMh
@MBuhar
@Macky_Sal
@PresidentBi
@MSPS_Tog
